Label,temperature,treatment,cage,survival,sex,individual,trait,Length
FO_18_NP_2_6_F_36_L_.tif,18,NP,2,6,F,36,L,0.658
FO_18_NP_2_6_F_36_L_.tif,18,NP,2,6,F,36,L,0.687
FO_18_NP_2_6_F_36_W_.tif,18,NP,2,6,F,36,W,1.913
FO_18_NP_2_6_M_37_T_.tif,18,NP,2,6,M,37,T,0.944
FO_18_NP_2_6_M_37_L_.tif,18,NP,2,6,M,37,L,0.681
FO_18_NP_2_6_M_37_L_.tif,18,NP,2,6,M,37,L,0.666
FO_18_NP_2_6_M_37_W_.tif,18,NP,2,6,M,37,W,1.803
FO_18_NP_2_6_M_38_T_.tif,18,NP,2,6,M,38,T,0.936
FO_18_NP_2_6_M_38_L_.tif,18,NP,2,6,M,38,L,0.667
FO_18_NP_2_6_M_38_L_.tif,18,NP,2,6,M,38,L,0.65
FO_18_NP_2_6_M_38_W_.tif,18,NP,2,6,M,38,W,1.76
FO_18_NP_2_6_M_39_T_.tif,18,NP,2,6,M,39,T,0.84
FO_18_NP_2_6_M_39_L_.tif,18,NP,2,6,M,39,L,0.616
FO_18_NP_2_6_M_39_L_.tif,18,NP,2,6,M,39,L,0.608
FO_18_NP_2_6_M_39_W_.tif,18,NP,2,6,M,39,W,1.687
FO_18_NP_2_6_F_40_T_.tif,18,NP,2,6,F,40,T,1.037
FO_18_NP_2_6_F_40_L_.tif,18,NP,2,6,F,40,L,0.67
FO_18_NP_2_6_F_40_L_.tif,18,NP,2,6,F,40,L,0.652
FO_18_NP_2_6_F_40_W_.tif,18,NP,2,6,F,40,W,1.938
FO_18_NP_2_6_F_41_T_.tif,18,NP,2,6,F,41,T,1.057
FO_18_NP_2_6_F_41_L_.tif,18,NP,2,6,F,41,L,0.705
FO_18_NP_2_6_F_41_L_.tif,18,NP,2,6,F,41,L,0.68
FO_18_NP_2_6_F_41_W_.tif,18,NP,2,6,F,41,W,1.984
FO_18_NP_2_6_M_42_T_.tif,18,NP,2,6,M,42,T,0.903
FO_18_NP_2_6_M_42_L_.tif,18,NP,2,6,M,42,L,0.668
FO_18_NP_2_6_M_42_L_.tif,18,NP,2,6,M,42,L,0.665
FO_18_NP_2_6_M_42_W_.tif,18,NP,2,6,M,42,W,1.73
FO_18_NP_2_6_F_43_T_.tif,18,NP,2,6,F,43,T,1.122
FO_18_NP_2_6_F_43_L_.tif,18,NP,2,6,F,43,L,0.737
FO_18_NP_2_6_F_43_L_.tif,18,NP,2,6,F,43,L,0.726
